Site,Species,Hunted,site.sp
COU,Eira barbara,No,Eira barbara-COU
COU,Geotrygon montana,No,Geotrygon montana-COU
COU,Geotrygon violacea,No,Geotrygon violacea-COU
COU,Hydrochoerus hydrochaeris,No,Hydrochoerus hydrochaeris-COU
COU,Leopardus pardalis,No,Leopardus pardalis-COU
COU,Leopardus tigrinus,No,Leopardus tigrinus-COU
COU,Leopardus wiedii,No,Leopardus wiedii-COU
COU,Leptotila rufaxilla,No,Leptotila rufaxilla-COU
COU,Mazama americana,No,Mazama americana-COU
COU,Mitu tuberosum,No,Mitu tuberosum-COU
COU,Myoprocta pratti,No,Myoprocta pratti-COU
COU,Myrmecophaga tridactyla,No,Myrmecophaga tridactyla-COU
COU,Nasua nasua,No,Nasua nasua-COU
COU,Neomorphus geoffroyi,No,Neomorphus geoffroyi-COU
COU,Odontophorus stellatus,No,Odontophorus stellatus-COU
COU,Panthera onca,No,Panthera onca-COU
COU,Pecari tajacu,No,Pecari tajacu-COU
COU,Penelope jacquacu,No,Penelope jacquacu-COU
COU,Philander opossum,No,Philander opossum-COU
COU,Priodontes maximus,No,Priodontes maximus-COU
COU,Procyon cancrivorus,No,Procyon cancrivorus-COU
COU,Proechimys brevicauda,No,Proechimys brevicauda-COU
COU,Psophia leucoptera,No,Psophia leucoptera-COU
COU,Pteronura brasiliensis,No,Pteronura brasiliensis-COU
COU,Puma concolor,No,Puma concolor-COU
COU,Puma yagouaroundi,No,Puma yagouaroundi-COU
COU,Sciurus ignitus,No,Sciurus ignitus-COU
COU,Sciurus igniventris,No,Sciurus igniventris-COU
COU,Sciurus spadiceus,No,Sciurus spadiceus-COU
COU,Sylvilagus brasiliensis,No,Sylvilagus brasiliensis-COU
COU,Tamandua tetradactyla,No,Tamandua tetradactyla-COU
COU,Tapirus terrestris,No,Tapirus terrestris-COU
COU,Tayassu pecari,No,Tayassu pecari-COU
COU,Tinamus guttatus,No,Tinamus guttatus-COU
COU,Tinamus major,No,Tinamus major-COU
COU,Tinamus tao,No,Tinamus tao-COU
CSN,Aramides cajaneus,No,Aramides cajaneus-CSN
CSN,Cabassous unicinctus,No,Cabassous unicinctus-CSN
CSN,Crax alector,Yes,Crax alector-CSN
CSN,Crypturellus cinereus,Yes,Crypturellus cinereus-CSN
CSN,Crypturellus erythropus,Yes,Crypturellus erythropus-CSN
CSN,Crypturellus soui,Yes,Crypturellus soui-CSN
CSN,Crypturellus variegatus,Yes,Crypturellus variegatus-CSN
CSN,Cuniculus paca,Yes,Cuniculus paca-CSN
CSN,Dasyprocta leporina,Yes,Dasyprocta leporina-CSN
CSN,Dasypus kappleri,Yes,Dasypus kappleri-CSN
CSN,Dasypus novemcinctus,Yes,Dasypus novemcinctus-CSN
CSN,Didelphis marsupialis,No,Didelphis marsupialis-CSN
CSN,Eira barbara,No,Eira barbara-CSN
CSN,Geotrygon montana,Unknown,Geotrygon montana-CSN
CSN,Geotrygon violacea,Unknown,Geotrygon violacea-CSN
CSN,Leopardus pardalis,Yes,Leopardus pardalis-CSN
CSN,Leopardus tigrinus,No,Leopardus tigrinus-CSN
