sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,ActivityCycle,AdultBodyMass_g,DietBreadth,LitterSize,TrophicLevel,GR_Area_km2,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,protection,poaching
Cabassous centralis,BCI,-0.178693722,stable,stable,LA,DD,3810,MAMMALIA,Insectivore,Cabassous centralis.Barro Colorado Nature Monument - Soberania National Park,4,1,3669.69,1,1,3,669685.02,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Cabassous unicinctus,CAX,1.93E-16,stable,stable,LA,LC,4800,MAMMALIA,Insectivore,Cabassous unicinctus.Caxiuanͣ,3,1,3987.97,1,1,3,9346240.23,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Cabassous unicinctus,MAN,-1.27E-15,stable,stable,LA,LC,4800,MAMMALIA,Insectivore,Cabassous unicinctus.Manaus,2,1,3987.97,1,1,3,9346240.23,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Callosciurus erythraeus,PSH,-1.090137979,stable,decreasing,AS,LC,280,MAMMALIA,Herbivore,Callosciurus erythraeus.Pasoh Forest Reserve,3,NA,283.23,3,1.94,1,2354368.13,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Canirallus kioloides,RNF,0.815443378,increasing,increasing,AF,LC,269,AVES,Omnivore,Canirallus kioloides.Ranomafana,3,NA,NA,NA,NA,NA,NA,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Canirallus oculeus,KRP,0.422856851,stable,stable,AF,LC,277,AVES,Omnivore,Canirallus oculeus.Korup National Park,2,NA,NA,NA,NA,NA,NA,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Canis adustus,BIF,-0.161785728,stable,stable,AF,LC,10250,MAMMALIA,Carnivore,Canis adustus.Bwindi Impenetrable Forest,4,1,10392.49,6,4.5,2,10581413.14,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Canis latrans,BCI,0.423216072,stable,stable,LA,LC,11990,MAMMALIA,Carnivore,Canis latrans.Barro Colorado Nature Monument - Soberania National Park,4,2,11989.1,1,5.72,3,17099094.3,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Capricornis milneedwardsii,NAK,-0.931495341,stable,decreasing,AS,NT,160000,MAMMALIA,Herbivore,Capricornis milneedwardsii.Nam Kading,4,NA,NA,NA,NA,NA,2334828.77,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Capricornis sumatraensis,PSH,2.95E-16,stable,stable,AS,VU,140000,MAMMALIA,Herbivore,Capricornis sumatraensis.Pasoh Forest Reserve,3,NA,110942.22,2,1.22,1,237174.87,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Caracal aurata,BIF,-0.432945816,decreasing,decreasing,AF,NT,16000,MAMMALIA,Carnivore,Caracal aurata.Bwindi Impenetrable Forest,4,NA,NA,NA,NA,NA,NA,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Caracal aurata,NNN,-0.361458971,stable,decreasing,AF,NT,16000,MAMMALIA,Carnivore,Caracal aurata.Nouabalͩ Ndoki,4,NA,NA,NA,NA,NA,NA,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cephalophus callipygus,NNN,-4.23E-16,stable,stable,AF,LC,18250,MAMMALIA,Herbivore,Cephalophus callipygus.Nouabalͩ Ndoki,4,3,19079.23,3,NA,1,788397.64,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cephalophus dorsalis,NNN,-0.155446584,decreasing,decreasing,AF,LC,20000,MAMMALIA,Omnivore,Cephalophus dorsalis.Nouabalͩ Ndoki,4,1,20000,4,1,2,2874503.05,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cephalophus harveyi,UDZ,-0.152817089,decreasing,decreasing,AF,LC,14500,MAMMALIA,Herbivore,Cephalophus harveyi.Udzungwa,5,NA,NA,NA,NA,NA,NA,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Cephalophus leucogaster,NNN,1.160925089,increasing,increasing,AF,LC,12700,MAMMALIA,Herbivore,Cephalophus leucogaster.Nouabalͩ Ndoki,4,3,13208.69,5,1,2,1396673.01,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cephalophus nigrifrons,BIF,0.154537377,stable,stable,AF,LC,13900,MAMMALIA,Herbivore,Cephalophus nigrifrons.Bwindi Impenetrable Forest,4,2,14676.33,4,NA,1,2766201.07,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Cephalophus nigrifrons,NNN,-0.083633099,stable,stable,AF,LC,13900,MAMMALIA,Herbivore,Cephalophus nigrifrons.Nouabalͩ Ndoki,4,2,14676.33,4,NA,1,2766201.07,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cephalophus ogilbyi,KRP,-0.840304825,stable,stable,AF,LC,20000,MAMMALIA,Herbivore,Cephalophus ogilbyi.Korup National Park,2,3,18386.42,NA,1,NA,231511.16,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Cephalophus silvicultor,BIF,-0.267178634,decreasing,decreasing,AF,LC,72500,MAMMALIA,Herbivore,Cephalophus silvicultor.Bwindi Impenetrable Forest,4,2,62006.6,5,1,2,6018051.89,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Cephalophus silvicultor,KRP,0.422856851,stable,stable,AF,LC,72500,MAMMALIA,Herbivore,Cephalophus silvicultor.Korup National Park,2,2,62006.6,5,1,2,6018051.89,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Cephalophus silvicultor,NNN,4.57E-16,stable,stable,AF,LC,72500,MAMMALIA,Herbivore,Cephalophus silvicultor.Nouabalͩ Ndoki,4,2,62006.6,5,1,2,6018051.89,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cephalophus spadix,UDZ,1.44E-16,stable,stable,AF,EN,56000,MAMMALIA,Omnivore,Cephalophus spadix.Udzungwa,5,1,56857.02,3,NA,1,36583.37,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Cephalophus weynsi,BIF,0.425039756,stable,stable,AF,LC,2001,MAMMALIA,Herbivore,Cephalophus weynsi.Bwindi Impenetrable Forest,4,NA,NA,NA,NA,NA,1692834.41,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Cercocebus agilis,NNN,-0.48385072,decreasing,decreasing,AF,LC,8000,MAMMALIA,Omnivore,Cercocebus agilis.Nouabalͩ Ndoki,4,3,7105.62,NA,NA,NA,1068616.42,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cercocebus sanjei,UDZ,-0.010549663,stable,stable,AF,EN,8000,MAMMALIA,Omnivore,Cercocebus sanjei.Udzungwa,5,NA,NA,NA,NA,NA,59607.49,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Cercocebus torquatus,KRP,-0.21007147,stable,stable,AF,VU,7750,MAMMALIA,Omnivore,Cercocebus torquatus.Korup National Park,2,3,7293.07,1,1.01,1,362869.59,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Cercopithecus lhoesti,BIF,0.210590502,stable,stable,AF,VU,5375,MAMMALIA,Omnivore,Cercopithecus lhoesti.Bwindi Impenetrable Forest,4,3,5307.47,3,1,2,451166.22,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Cercopithecus mitis,BIF,0.249256079,stable,stable,AF,LC,5000,MAMMALIA,Omnivore,Cercopithecus mitis.Bwindi Impenetrable Forest,4,3,5041.29,4,1,2,2341818.13,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Cercopithecus mitis,UDZ,-0.04878506,stable,stable,AF,LC,5000,MAMMALIA,Omnivore,Cercopithecus mitis.Udzungwa,5,3,5041.29,4,1,2,2341818.13,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Cercopithecus nictitans,KRP,-9.03E-16,stable,stable,AF,LC,5410,MAMMALIA,Omnivore,Cercopithecus nictitans.Korup National Park,2,3,5256.91,4,1,2,2185668.95,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Cercopithecus nictitans,NNN,-0.425039756,stable,stable,AF,LC,5410,MAMMALIA,Omnivore,Cercopithecus nictitans.Nouabalͩ Ndoki,4,3,5256.91,4,1,2,2185668.95,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Chalcophaps indica,BBS,0.319918649,stable,increasing,AS,LC,107,AVES,Herbivore,Chalcophaps indica.Bukit Barisan,4,NA,NA,NA,NA,NA,NA,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Chalcophaps indica,PSH,0.549999806,stable,increasing,AS,LC,107,AVES,Herbivore,Chalcophaps indica.Pasoh Forest Reserve,3,NA,NA,NA,NA,NA,NA,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Civettictis civetta,BIF,3.34E-11,stable,stable,AF,LC,12000,MAMMALIA,Omnivore,Civettictis civetta.Bwindi Impenetrable Forest,4,1,12075.58,6,2.31,2,14207678.6,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Civettictis civetta,NNN,-0.794824182,stable,stable,AF,LC,12000,MAMMALIA,Omnivore,Civettictis civetta.Nouabalͩ Ndoki,4,1,12075.58,6,2.31,2,14207678.6,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Civettictis civetta,UDZ,-0.354420553,stable,stable,AF,LC,12000,MAMMALIA,Omnivore,Civettictis civetta.Udzungwa,5,1,12075.58,6,2.31,2,14207678.6,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Conepatus semistriatus,VB,-0.26822978,stable,stable,LA,LC,1200,MAMMALIA,Carnivore,Conepatus semistriatus.Volc͍n Barva,7,1,1997.34,6,3.49,2,2032658.27,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Coua reynaudii,RNF,0.455362696,stable,stable,AF,LC,153,AVES,Omnivore,Coua reynaudii.Ranomafana,3,NA,NA,NA,NA,NA,NA,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Crax alector,CSN,0.027957432,stable,stable,LA,VU,3950,AVES,Omnivore,Crax alector.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Crax alector,MAN,0.529349439,stable,stable,LA,VU,3950,AVES,Omnivore,Crax alector.Manaus,2,NA,NA,NA,NA,NA,NA,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Crax rubra,BCI,0.124829816,stable,stable,LA,VU,3950,AVES,Omnivore,Crax rubra.Barro Colorado Nature Monument - Soberania National Park,4,NA,NA,NA,NA,NA,NA,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Crax rubra,VB,-0.164781929,decreasing,decreasing,LA,VU,3950,AVES,Omnivore,Crax rubra.Volc͍n Barva,7,NA,NA,NA,NA,NA,NA,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Cricetomys emini,BIF,1.24385089,increasing,increasing,AF,LC,1300,MAMMALIA,Omnivore,Cricetomys emini.Bwindi Impenetrable Forest,4,1,1280,NA,0.97,NA,2945905.07,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Cricetomys emini,KRP,-22.73128536,decreasing,decreasing,AF,LC,1300,MAMMALIA,Omnivore,Cricetomys emini.Korup National Park,2,1,1280,NA,0.97,NA,2945905.07,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Cricetomys emini,NNN,0.332686958,stable,increasing,AF,LC,1300,MAMMALIA,Omnivore,Cricetomys emini.Nouabalͩ Ndoki,4,1,1280,NA,0.97,NA,2945905.07,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cricetomys gambianus,BIF,0.268612047,increasing,increasing,AF,LC,1285,MAMMALIA,Omnivore,Cricetomys gambianus.Bwindi Impenetrable Forest,4,NA,1267.52,NA,3.11,NA,NA,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Cricetomys gambianus,NNN,-0.143404922,stable,stable,AF,LC,1285,MAMMALIA,Omnivore,Cricetomys gambianus.Nouabalͩ Ndoki,4,NA,1267.52,NA,3.11,NA,NA,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Cricetomys gambianus,UDZ,0.162107721,increasing,increasing,AF,LC,1285,MAMMALIA,Omnivore,Cricetomys gambianus.Udzungwa,5,NA,1267.52,NA,3.11,NA,NA,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Crocuta crocuta,UDZ,-0.195700343,stable,stable,AF,LC,63000,MAMMALIA,Carnivore,Crocuta crocuta.Udzungwa,5,1,63369.98,1,1.91,3,14790149.69,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Crossarchus obscurus,KRP,-0.200670695,stable,stable,AF,LC,1395,MAMMALIA,Omnivore,Crossarchus obscurus.Korup National Park,2,3,1395.09,6,4.29,2,438210.83,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Cryptoprocta ferox,RNF,0.526019845,increasing,increasing,AF,VU,9500,MAMMALIA,Carnivore,Cryptoprocta ferox.Ranomafana,3,2,9500,2,2.98,3,214312.12,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Crypturellus bartletti,COU,1.958402426,increasing,increasing,LA,LC,241,AVES,,Crypturellus bartletti.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Crypturellus cinereus,CSN,0.152652897,stable,stable,LA,LC,575,AVES,Omnivore,Crypturellus cinereus.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Crypturellus cinereus,COU,-1.771879626,decreasing,decreasing,LA,LC,575,AVES,Omnivore,Crypturellus cinereus.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Crypturellus soui,CAX,0.658483545,stable,stable,LA,LC,220,AVES,Omnivore,Crypturellus soui.Caxiuanͣ,3,NA,NA,NA,NA,NA,NA,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Crypturellus soui,CSN,1.42E-16,stable,stable,LA,LC,220,AVES,Omnivore,Crypturellus soui.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Crypturellus soui,COU,0.81812762,increasing,increasing,LA,LC,220,AVES,Omnivore,Crypturellus soui.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Crypturellus soui,YAS,0,stable,stable,LA,LC,220,AVES,Omnivore,Crypturellus soui.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Crypturellus strigulosus,CAX,1.93E-16,stable,stable,LA,LC,421,AVES,Omnivore,Crypturellus strigulosus.Caxiuanͣ,3,NA,NA,NA,NA,NA,NA,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Crypturellus undulatus,COU,0.658483545,stable,stable,LA,LC,300,AVES,Omnivore,Crypturellus undulatus.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Crypturellus undulatus,YAS,1.93E-16,stable,stable,LA,LC,300,AVES,Omnivore,Crypturellus undulatus.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Crypturellus variegatus,CAX,-0.479836728,stable,decreasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus.Caxiuanͣ,3,NA,NA,NA,NA,NA,NA,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Crypturellus variegatus,CSN,0.19385392,stable,increasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Crypturellus variegatus,COU,2.616166152,increasing,increasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Crypturellus variegatus,MAN,1.282531571,stable,increasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus.Manaus,2,NA,NA,NA,NA,NA,NA,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Crypturellus variegatus,YAS,0.066432627,stable,stable,LA,LC,384,AVES,Omnivore,Crypturellus variegatus.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Cuniculus paca,BCI,0.136861905,increasing,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Barro Colorado Nature Monument - Soberania National Park,4,1,8172.55,5,1.01,1,12381979.8,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Cuniculus paca,CAX,0.336857163,increasing,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Caxiuanͣ,3,1,8172.55,5,1.01,1,12381979.8,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Cuniculus paca,CSN,0.080149081,stable,stable,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Central Suriname Nature Reserve,5,1,8172.55,5,1.01,1,12381979.8,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Cuniculus paca,COU,0.35547265,increasing,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Cocha Cashu - Manu National Park,3,1,8172.55,5,1.01,1,12381979.8,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
